id,qty,symbol,orderDateTime,side,tradedPrice,orderNumStatus,slNo
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 09:15,-1,1145.4,24011600006720:2,1
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 09:15,1,20.1,24011600006700:2,2
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 09:15,1,2595.17,24011600006704:2,3
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 09:15,-1,1153.29,24011600006727:2,4
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 15:00,1,1132.88,24011600433131:2,7
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 15:00,-1,2603.88,24011600433132:2,8
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 15:00,-1,19.85,24011600433130:2,9
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 15:00,1,1119.45,24011600433133:2,10
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 09:15,1,20.1,24011600006700:2,1
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 09:15,1,2595.17,24011600006704:2,2
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 09:15,-1,1145.4,24011600006720:2,3
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 09:15,-1,1153.29,24011600006727:2,5
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 15:00,-1,2603.88,24011600433132:2,7
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 15:00,1,1119.45,24011600433133:2,8
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 15:00,-1,19.85,24011600433130:2,9
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 15:00,1,1132.88,24011600433131:2,10
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 09:15,1,2595.17,24011600006704:2,1
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 09:15,-1,1145.4,24011600006720:2,2
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 09:15,1,20.1,24011600006700:2,3
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 09:15,-1,1153.29,24011600006727:2,4
2.40116E+13,4,NSE:MPHASIS-EQ,16-01-2024 15:00,-1,2603.88,24011600433132:2,7
2.40116E+13,10,NSE:PRIVISCL-EQ,16-01-2024 15:00,1,1132.88,24011600433131:2,8
2.40116E+13,621,NSE:BCG-EQ,16-01-2024 15:00,-1,19.85,24011600433130:2,9
2.40116E+13,10,NSE:AUROPHARMA-EQ,16-01-2024 15:00,1,1119.45,24011600433133:2,10
2.40117E+13,9,NSE:ICICIGI-EQ,17-01-2024 09:15,-1,1422.75,24011700007587:2,1
2.40117E+13,12,NSE:CGCL-EQ,17-01-2024 09:15,-1,1004.8,24011700007567:2,2
2.40117E+13,219,NSE:TV18BRDCST-EQ,17-01-2024 09:26,1,59.95,24011700041191:2,3
2.40117E+13,8,NSE:HDFCBANK-EQ,17-01-2024 09:26,1,1578.45,24011700041182:2,4
2.40117E+13,9,NSE:ICICIGI-EQ,17-01-2024 15:14,1,1459.85,24011700536213:2,5
2.40117E+13,8,NSE:HDFCBANK-EQ,17-01-2024 15:14,-1,1542.9,24011700536212:2,6
2.40117E+13,219,NSE:TV18BRDCST-EQ,17-01-2024 15:14,-1,65.35,24011700536209:2,7
2.40117E+13,12,NSE:CGCL-EQ,17-01-2024 15:14,1,987.95,24011700536211:2,8
2.40118E+13,21,NSE:AARTIIND-EQ,18-01-2024 09:16,-1,625.2,24011800009153:2,1
2.40118E+13,9,NSE:BIRLACORPN-EQ,18-01-2024 09:16,-1,1419.57,24011800009157:2,2
2.40118E+13,198,NSE:NHPC-EQ,18-01-2024 09:26,1,69.8,24011800032771:2,3
2.40118E+13,8,NSE:HDFCBANK-EQ,18-01-2024 09:28,1,1506.35,24011800039046:2,5
2.40118E+13,198,NSE:NHPC-EQ,18-01-2024 15:14,-1,71.65,24011800513979:2,6
2.40118E+13,8,NSE:HDFCBANK-EQ,18-01-2024 15:14,-1,1485.15,24011800513982:2,7
2.40118E+13,9,NSE:BIRLACORPN-EQ,18-01-2024 15:14,1,1381.45,24011800513981:2,8
2.40118E+13,21,NSE:AARTIIND-EQ,18-01-2024 15:14,1,611.65,24011800513980:2,9
2.40118E+13,9,NSE:BIRLACORPN-EQ,18-01-2024 09:16,-1,1419.57,24011800009157:2,1
2.40118E+13,21,NSE:AARTIIND-EQ,18-01-2024 09:16,-1,625.2,24011800009153:2,2
2.40118E+13,198,NSE:NHPC-EQ,18-01-2024 09:26,1,69.8,24011800032771:2,3
2.40118E+13,8,NSE:HDFCBANK-EQ,18-01-2024 09:28,1,1506.35,24011800039046:2,5
2.40118E+13,8,NSE:HDFCBANK-EQ,18-01-2024 15:14,-1,1485.15,24011800513982:2,6
2.40118E+13,198,NSE:NHPC-EQ,18-01-2024 15:14,-1,71.65,24011800513979:2,7
2.40118E+13,21,NSE:AARTIIND-EQ,18-01-2024 15:14,1,611.65,24011800513980:2,8
2.40118E+13,9,NSE:BIRLACORPN-EQ,18-01-2024 15:14,1,1381.45,24011800513981:2,9
2.40119E+13,306,NSE:EASEMYTRIP-EQ,19-01-2024 09:17,-1,47.05,24011900010569:2,1
2.40119E+13,28,NSE:POONAWALLA-EQ,19-01-2024 09:17,-1,507.05,24011900010576:2,2
2.40119E+13,11,NSE:SUNDRMFAST-EQ,19-01-2024 09:26,1,1274.37,24011900027200:2,3
2.40119E+13,209,NSE:NHPC-EQ,19-01-2024 09:26,1,70.9,24011900027196:2,4
2.40119E+13,306,NSE:EASEMYTRIP-EQ,19-01-2024 15:14,1,46.5,24011900402765:2,5
2.40119E+13,209,NSE:NHPC-EQ,19-01-2024 15:14,-1,73.55,24011900402766:2,6
